fetched_ts_utc,game_date_et,lumify_event_id,event_name,starts_at_utc,captured_at,game_pk,metric,value
2026-08-01T17:10:54Z,2026-08-01,10802,Milwaukee Brewers @ Los Angeles Angels,2026-08-01T01:38:00Z,2026-08-01T17:05:17Z,824000,spread.home.bets_pct,48.0
2026-08-01T17:10:54Z,2026-08-01,10802,Milwaukee Brewers @ Los Angeles Angels,2026-08-01T01:38:00Z,2026-08-01T17:05:17Z,824000,spread.home.handle_pct,32.0
2026-08-01T17:10:54Z,2026-08-01,10802,Milwaukee Brewers @ Los Angeles Angels,2026-08-01T01:38:00Z,2026-08-01T17:05:17Z,824000,spread.home.line,1.5
2026-08-01T17:10:54Z,2026-08-01,10802,Milwaukee Brewers @ Los Angeles Angels,2026-08-01T01:38:00Z,2026-08-01T17:05:17Z,824000,spread.away.bets_pct,52.0
2026-08-01T17:10:54Z,2026-08-01,10802,Milwaukee Brewers @ Los Angeles Angels,2026-08-01T01:38:00Z,2026-08-01T17:05:17Z,824000,spread.away.handle_pct,68.0
2026-08-01T17:10:54Z,2026-08-01,10802,Milwaukee Brewers @ Los Angeles Angels,2026-08-01T01:38:00Z,2026-08-01T17:05:17Z,824000,total.over.bets_pct,29.0
2026-08-01T17:10:54Z,2026-08-01,10802,Milwaukee Brewers @ Los Angeles Angels,2026-08-01T01:38:00Z,2026-08-01T17:05:17Z,824000,total.over.handle_pct,46.0
2026-08-01T17:10:54Z,2026-08-01,10802,Milwaukee Brewers @ Los Angeles Angels,2026-08-01T01:38:00Z,2026-08-01T17:05:17Z,824000,total.over.line,8.5
2026-08-01T17:10:54Z,2026-08-01,10802,Milwaukee Brewers @ Los Angeles Angels,2026-08-01T01:38:00Z,2026-08-01T17:05:17Z,824000,total.under.bets_pct,71.0
2026-08-01T17:10:54Z,2026-08-01,10802,Milwaukee Brewers @ Los Angeles Angels,2026-08-01T01:38:00Z,2026-08-01T17:05:17Z,824000,total.under.handle_pct,54.0
2026-08-01T17:10:54Z,2026-08-01,10802,Milwaukee Brewers @ Los Angeles Angels,2026-08-01T01:38:00Z,2026-08-01T17:05:17Z,824000,total.under.line,8.5
