season,game_date_et,game_pk,start_utc,game_type,doubleheader,game_number,home_team_id,away_team_id,home_team,away_team
2015,2015-04-05,413661,2015-04-06 00:05:00+00:00,R,N,1,112,138,Chicago Cubs,St. Louis Cardinals
2015,2015-04-06,413663,2015-04-06 17:05:00+00:00,R,N,1,147,141,New York Yankees,Toronto Blue Jays
2015,2015-04-06,413656,2015-04-06 17:08:00+00:00,R,N,1,116,142,Detroit Tigers,Minnesota Twins
2015,2015-04-06,413655,2015-04-06 18:10:00+00:00,R,N,1,158,115,Milwaukee Brewers,Colorado Rockies
2015,2015-04-06,413652,2015-04-06 19:05:00+00:00,R,N,1,143,111,Philadelphia Phillies,Boston Red Sox
2015,2015-04-06,413651,2015-04-06 19:10:00+00:00,R,N,1,139,110,Tampa Bay Rays,Baltimore Orioles
2015,2015-04-06,413657,2015-04-06 20:05:00+00:00,R,N,1,120,121,Washington Nationals,New York Mets
2015,2015-04-06,413658,2015-04-06 20:10:00+00:00,R,N,1,113,134,Cincinnati Reds,Pittsburgh Pirates
2015,2015-04-06,413659,2015-04-06 20:10:00+00:00,R,N,1,119,135,Los Angeles Dodgers,San Diego Padres
2015,2015-04-06,413649,2015-04-06 20:10:00+00:00,R,N,1,136,108,Seattle Mariners,Los Angeles Angels
2015,2015-04-06,413653,2015-04-06 20:10:00+00:00,R,N,1,118,145,Kansas City Royals,Chicago White Sox
2015,2015-04-06,413650,2015-04-06 20:10:00+00:00,R,N,1,146,144,Miami Marlins,Atlanta Braves
2015,2015-04-06,413654,2015-04-06 23:10:00+00:00,R,N,1,117,114,Houston Astros,Cleveland Indians
2015,2015-04-06,413662,2015-04-07 02:05:00+00:00,R,N,1,133,140,Oakland Athletics,Texas Rangers
2015,2015-04-06,413660,2015-04-07 02:10:00+00:00,R,N,1,109,137,Arizona Diamondbacks,San Francisco Giants
2015,2015-04-07,413666,2015-04-07 23:10:00+00:00,R,N,1,139,110,Tampa Bay Rays,Baltimore Orioles
2015,2015-04-07,413665,2015-04-07 23:10:00+00:00,R,N,1,146,144,Miami Marlins,Atlanta Braves
2015,2015-04-07,413667,2015-04-08 00:10:00+00:00,R,N,1,158,115,Milwaukee Brewers,Colorado Rockies
2015,2015-04-07,413669,2015-04-08 01:40:00+00:00,R,N,1,109,137,Arizona Diamondbacks,San Francisco Giants
2015,2015-04-07,413670,2015-04-08 02:05:00+00:00,R,N,1,133,140,Oakland Athletics,Texas Rangers
2015,2015-04-07,413668,2015-04-08 02:10:00+00:00,R,N,1,119,135,Los Angeles Dodgers,San Diego Padres
2015,2015-04-07,413664,2015-04-08 02:10:00+00:00,R,N,1,136,108,Seattle Mariners,Los Angeles Angels
2015,2015-07-07,413683,2015-04-07 17:20:00+00:00,R,S,1,112,138,Chicago Cubs,St. Louis Cardinals
2015,2015-04-08,413678,2015-04-08 17:08:00+00:00,R,N,1,116,142,Detroit Tigers,Minnesota Twins
2015,2015-04-08,413693,2015-04-08 18:20:00+00:00,R,N,1,112,138,Chicago Cubs,St. Louis Cardinals
2015,2015-04-08,413679,2015-04-08 23:05:00+00:00,R,N,1,120,121,Washington Nationals,New York Mets
