season,game_date_et,game_pk,start_utc,game_type,doubleheader,game_number,home_team_id,away_team_id,home_team,away_team
2018,2018-03-29,529407,2018-03-29 16:40:00+00:00,R,N,1,146,112,Miami Marlins,Chicago Cubs
2018,2018-03-29,529419,2018-03-29 17:10:00+00:00,R,N,1,121,138,New York Mets,St. Louis Cardinals
2018,2018-03-29,529414,2018-03-29 19:05:00+00:00,R,N,1,110,142,Baltimore Orioles,Minnesota Twins
2018,2018-03-29,529411,2018-03-29 19:35:00+00:00,R,N,1,140,117,Texas Rangers,Houston Astros
2018,2018-03-29,529415,2018-03-29 19:37:00+00:00,R,N,1,141,147,Toronto Blue Jays,New York Yankees
2018,2018-03-29,529406,2018-03-29 20:00:00+00:00,R,N,1,139,111,Tampa Bay Rays,Boston Red Sox
2018,2018-03-29,529412,2018-03-29 20:05:00+00:00,R,N,1,133,108,Oakland Athletics,Los Angeles Angels
2018,2018-03-29,529416,2018-03-29 20:10:00+00:00,R,N,1,144,143,Atlanta Braves,Philadelphia Phillies
2018,2018-03-29,529413,2018-03-29 20:10:00+00:00,R,N,1,135,158,San Diego Padres,Milwaukee Brewers
2018,2018-03-29,529408,2018-03-29 20:15:00+00:00,R,N,1,118,145,Kansas City Royals,Chicago White Sox
2018,2018-03-29,529418,2018-03-29 23:08:00+00:00,R,N,1,119,137,Los Angeles Dodgers,San Francisco Giants
2018,2018-03-29,529410,2018-03-30 02:10:00+00:00,R,N,1,109,115,Arizona Diamondbacks,Colorado Rockies
2018,2018-03-29,529409,2018-03-30 02:10:00+00:00,R,N,1,136,114,Seattle Mariners,Cleveland Indians
2018,2018-03-30,529417,2018-03-29 17:10:00+00:00,R,N,1,116,134,Detroit Tigers,Pittsburgh Pirates
2018,2018-03-30,529420,2018-03-29 20:10:00+00:00,R,N,1,113,120,Cincinnati Reds,Washington Nationals
2018,2018-03-30,529417,2018-03-30 17:10:00+00:00,R,N,1,116,134,Detroit Tigers,Pittsburgh Pirates
2018,2018-03-30,529420,2018-03-30 20:10:00+00:00,R,N,1,113,120,Cincinnati Reds,Washington Nationals
2018,2018-03-30,529427,2018-03-30 23:07:00+00:00,R,N,1,141,147,Toronto Blue Jays,New York Yankees
2018,2018-03-30,529421,2018-03-30 23:10:00+00:00,R,N,1,139,111,Tampa Bay Rays,Boston Red Sox
2018,2018-03-30,529422,2018-03-30 23:10:00+00:00,R,N,1,146,112,Miami Marlins,Chicago Cubs
2018,2018-03-30,529428,2018-03-30 23:35:00+00:00,R,N,1,144,143,Atlanta Braves,Philadelphia Phillies
2018,2018-03-30,529424,2018-03-31 00:05:00+00:00,R,N,1,140,117,Texas Rangers,Houston Astros
2018,2018-03-30,529423,2018-03-31 01:40:00+00:00,R,N,1,109,115,Arizona Diamondbacks,Colorado Rockies
2018,2018-03-30,529425,2018-03-31 02:05:00+00:00,R,N,1,133,108,Oakland Athletics,Los Angeles Angels
2018,2018-03-30,529429,2018-03-31 02:10:00+00:00,R,N,1,119,137,Los Angeles Dodgers,San Francisco Giants
2018,2018-03-30,529426,2018-03-31 02:10:00+00:00,R,N,1,135,158,San Diego Padres,Milwaukee Brewers
2018,2018-03-31,529443,2018-03-31 17:10:00+00:00,R,N,1,121,138,New York Mets,St. Louis Cardinals
2018,2018-03-31,529444,2018-03-31 18:10:00+00:00,R,N,1,113,120,Cincinnati Reds,Washington Nationals
2018,2018-03-31,529436,2018-03-31 20:05:00+00:00,R,N,1,133,108,Oakland Athletics,Los Angeles Angels
2018,2018-03-31,529435,2018-03-31 20:05:00+00:00,R,N,1,140,117,Texas Rangers,Houston Astros
2018,2018-03-31,529439,2018-03-31 20:07:00+00:00,R,N,1,141,147,Toronto Blue Jays,New York Yankees
2018,2018-03-31,529433,2018-03-31 20:10:00+00:00,R,N,1,136,114,Seattle Mariners,Cleveland Indians
2018,2018-03-31,529430,2018-03-31 22:10:00+00:00,R,N,1,139,111,Tampa Bay Rays,Boston Red Sox
2018,2018-03-31,529438,2018-03-31 23:05:00+00:00,R,N,1,110,142,Baltimore Orioles,Minnesota Twins
2018,2018-03-31,529440,2018-03-31 23:10:00+00:00,R,N,1,144,143,Atlanta Braves,Philadelphia Phillies
2018,2018-03-31,529431,2018-03-31 23:10:00+00:00,R,N,1,146,112,Miami Marlins,Chicago Cubs
2018,2018-03-31,529432,2018-03-31 23:15:00+00:00,R,N,1,118,145,Kansas City Royals,Chicago White Sox
2018,2018-03-31,529434,2018-04-01 00:10:00+00:00,R,N,1,109,115,Arizona Diamondbacks,Colorado Rockies
2018,2018-03-31,529437,2018-04-01 00:40:00+00:00,R,N,1,135,158,San Diego Padres,Milwaukee Brewers
2018,2018-03-31,529442,2018-04-01 01:10:00+00:00,R,N,1,119,137,Los Angeles Dodgers,San Francisco Giants
2018,2018-04-01,529441,2018-03-31 17:10:00+00:00,R,N,1,116,134,Detroit Tigers,Pittsburgh Pirates
2018,2018-04-01,529451,2018-04-01 17:05:00+00:00,R,N,1,110,142,Baltimore Orioles,Minnesota Twins
2018,2018-04-01,529452,2018-04-01 17:07:00+00:00,R,N,1,141,147,Toronto Blue Jays,New York Yankees
2018,2018-04-01,529453,2018-04-01 17:10:00+00:00,R,S,1,116,134,Detroit Tigers,Pittsburgh Pirates
2018,2018-04-01,529441,2018-04-01 22:10:00+00:00,R,S,2,116,134,Detroit Tigers,Pittsburgh Pirates
2018,2018-04-01,529455,2018-04-01 17:10:00+00:00,R,N,1,121,138,New York Mets,St. Louis Cardinals
2018,2018-04-01,529445,2018-04-01 17:10:00+00:00,R,N,1,139,111,Tampa Bay Rays,Boston Red Sox
2018,2018-04-01,529446,2018-04-01 17:10:00+00:00,R,N,1,146,112,Miami Marlins,Chicago Cubs
2018,2018-04-01,529449,2018-04-01 19:05:00+00:00,R,N,1,140,117,Texas Rangers,Houston Astros
2018,2018-04-01,529450,2018-04-01 20:05:00+00:00,R,N,1,133,108,Oakland Athletics,Los Angeles Angels
2018,2018-04-01,529456,2018-04-01 20:10:00+00:00,R,N,1,113,120,Cincinnati Reds,Washington Nationals
2018,2018-04-01,529448,2018-04-01 20:10:00+00:00,R,N,1,136,114,Seattle Mariners,Cleveland Indians
2018,2018-04-01,529454,2018-04-02 00:37:00+00:00,R,N,1,119,137,Los Angeles Dodgers,San Francisco Giants
2018,2018-04-28,529447,2018-04-01 18:15:00+00:00,R,N,1,118,145,Kansas City Royals,Chicago White Sox
2018,2018-04-02,529465,2018-04-02 17:05:00+00:00,R,N,1,134,142,Pittsburgh Pirates,Minnesota Twins
2018,2018-04-02,529463,2018-04-02 17:10:00+00:00,R,N,1,116,118,Detroit Tigers,Kansas City Royals
2018,2018-04-02,529467,2018-04-02 18:10:00+00:00,R,N,1,158,138,Milwaukee Brewers,St. Louis Cardinals
2018,2018-04-02,529459,2018-04-02 20:10:00+00:00,R,N,1,113,112,Cincinnati Reds,Chicago Cubs
2018,2018-04-02,529460,2018-04-02 23:07:00+00:00,R,N,1,141,145,Toronto Blue Jays,Chicago White Sox
2018,2018-04-02,529457,2018-04-02 23:10:00+00:00,R,N,1,117,110,Houston Astros,Baltimore Orioles
2018,2018-04-02,529458,2018-04-02 23:10:00+00:00,R,N,1,146,111,Miami Marlins,Boston Red Sox
2018,2018-04-02,529470,2018-04-02 23:35:00+00:00,R,N,1,144,120,Atlanta Braves,Washington Nationals
2018,2018-04-02,529464,2018-04-03 01:40:00+00:00,R,N,1,109,119,Arizona Diamondbacks,Los Angeles Dodgers
2018,2018-04-02,529469,2018-04-03 02:05:00+00:00,R,N,1,133,140,Oakland Athletics,Texas Rangers
2018,2018-04-02,529461,2018-04-03 02:07:00+00:00,R,N,1,108,114,Los Angeles Angels,Cleveland Indians
2018,2018-04-02,529462,2018-04-03 02:10:00+00:00,R,N,1,135,115,San Diego Padres,Colorado Rockies
2018,2018-04-03,529468,2018-04-02 17:05:00+00:00,R,N,1,147,139,New York Yankees,Tampa Bay Rays
2018,2018-07-09,529466,2018-04-02 23:10:00+00:00,R,N,1,121,143,New York Mets,Philadelphia Phillies
2018,2018-04-03,529477,2018-04-03 17:10:00+00:00,R,N,1,116,118,Detroit Tigers,Kansas City Royals
2018,2018-04-03,529468,2018-04-03 20:05:00+00:00,R,N,1,147,139,New York Yankees,Tampa Bay Rays
2018,2018-04-03,529480,2018-04-03 20:35:00+00:00,R,N,1,137,136,San Francisco Giants,Seattle Mariners
2018,2018-04-03,529472,2018-04-03 22:10:00+00:00,R,N,1,146,111,Miami Marlins,Boston Red Sox
2018,2018-04-03,529474,2018-04-03 23:07:00+00:00,R,N,1,141,145,Toronto Blue Jays,Chicago White Sox
2018,2018-04-03,529479,2018-04-03 23:10:00+00:00,R,N,1,121,143,New York Mets,Philadelphia Phillies
2018,2018-04-03,529483,2018-04-03 23:35:00+00:00,R,N,1,144,120,Atlanta Braves,Washington Nationals
2018,2018-04-03,529481,2018-04-03 23:40:00+00:00,R,N,1,158,138,Milwaukee Brewers,St. Louis Cardinals
2018,2018-04-03,529471,2018-04-04 00:10:00+00:00,R,N,1,117,110,Houston Astros,Baltimore Orioles
2018,2018-04-03,529478,2018-04-04 01:40:00+00:00,R,N,1,109,119,Arizona Diamondbacks,Los Angeles Dodgers
2018,2018-04-03,529482,2018-04-04 02:05:00+00:00,R,N,1,133,140,Oakland Athletics,Texas Rangers
2018,2018-04-03,529475,2018-04-04 02:07:00+00:00,R,N,1,108,114,Los Angeles Angels,Cleveland Indians
2018,2018-04-03,529476,2018-04-04 02:10:00+00:00,R,N,1,135,115,San Diego Padres,Colorado Rockies
2018,2018-05-19,529473,2018-04-03 22:40:00+00:00,R,N,1,113,112,Cincinnati Reds,Chicago Cubs
2018,2018-04-04,529496,2018-04-04 16:10:00+00:00,R,N,1,144,120,Atlanta Braves,Washington Nationals
2018,2018-04-04,529494,2018-04-04 17:05:00+00:00,R,N,1,147,139,New York Yankees,Tampa Bay Rays
2018,2018-04-04,529491,2018-04-04 17:10:00+00:00,R,N,1,121,143,New York Mets,Philadelphia Phillies
2018,2018-04-04,529484,2018-04-04 18:10:00+00:00,R,N,1,117,110,Houston Astros,Baltimore Orioles
2018,2018-04-04,529489,2018-04-04 19:40:00+00:00,R,N,1,109,119,Arizona Diamondbacks,Los Angeles Dodgers
2018,2018-04-04,529486,2018-04-04 20:07:00+00:00,R,N,1,108,114,Los Angeles Angels,Cleveland Indians
2018,2018-04-04,529490,2018-04-04 22:05:00+00:00,R,N,1,134,142,Pittsburgh Pirates,Minnesota Twins
2018,2018-04-04,529485,2018-04-04 23:07:00+00:00,R,N,1,141,145,Toronto Blue Jays,Chicago White Sox
2018,2018-04-04,529492,2018-04-04 23:15:00+00:00,R,N,1,137,136,San Francisco Giants,Seattle Mariners
2018,2018-04-04,529493,2018-04-04 23:40:00+00:00,R,N,1,158,138,Milwaukee Brewers,St. Louis Cardinals
