season,game_date_et,game_pk,start_utc,game_type,doubleheader,game_number,home_team_id,away_team_id,home_team,away_team
2016,2016-04-03,446877,2016-04-03 17:05:00+00:00,R,N,1,134,138,Pittsburgh Pirates,St. Louis Cardinals
2016,2016-04-03,446911,2016-04-03 20:05:00+00:00,R,N,1,139,141,Tampa Bay Rays,Toronto Blue Jays
2016,2016-04-03,446873,2016-04-04 00:37:00+00:00,R,N,1,118,121,Kansas City Royals,New York Mets
2016,2016-04-04,446875,2016-04-04 18:10:00+00:00,R,N,1,158,137,Milwaukee Brewers,San Francisco Giants
2016,2016-04-04,446872,2016-04-04 19:05:00+00:00,R,N,1,110,142,Baltimore Orioles,Minnesota Twins
2016,2016-04-04,446876,2016-04-04 20:05:00+00:00,R,N,1,140,136,Texas Rangers,Seattle Mariners
2016,2016-04-04,446874,2016-04-04 20:10:00+00:00,R,N,1,113,143,Cincinnati Reds,Philadelphia Phillies
2016,2016-04-04,446879,2016-04-04 20:10:00+00:00,R,N,1,144,120,Atlanta Braves,Washington Nationals
2016,2016-04-04,446871,2016-04-04 23:05:00+00:00,R,N,1,135,119,San Diego Padres,Los Angeles Dodgers
2016,2016-04-04,446878,2016-04-04 23:10:00+00:00,R,N,1,139,141,Tampa Bay Rays,Toronto Blue Jays
2016,2016-04-04,446869,2016-04-05 01:40:00+00:00,R,N,1,109,115,Arizona Diamondbacks,Colorado Rockies
2016,2016-04-04,446889,2016-04-05 02:05:00+00:00,R,N,1,108,112,Los Angeles Angels,Chicago Cubs
2016,2016-04-04,446868,2016-04-05 02:05:00+00:00,R,N,1,133,145,Oakland Athletics,Chicago White Sox
2016,2016-04-05,446870,2016-04-04 17:05:00+00:00,R,N,1,147,117,New York Yankees,Houston Astros
2016,2016-04-05,446867,2016-04-04 20:10:00+00:00,R,N,1,114,111,Cleveland Indians,Boston Red Sox
2016,2016-04-05,446870,2016-04-05 17:05:00+00:00,R,N,1,147,117,New York Yankees,Houston Astros
2016,2016-04-05,446867,2016-04-05 17:10:00+00:00,R,N,1,114,111,Cleveland Indians,Boston Red Sox
2016,2016-04-05,446896,2016-04-05 20:15:00+00:00,R,N,1,118,121,Kansas City Royals,New York Mets
2016,2016-04-05,446910,2016-04-05 23:05:00+00:00,R,N,1,134,138,Pittsburgh Pirates,St. Louis Cardinals
2016,2016-04-05,446887,2016-04-05 23:10:00+00:00,R,N,1,139,141,Tampa Bay Rays,Toronto Blue Jays
2016,2016-04-05,446883,2016-04-05 23:10:00+00:00,R,N,1,146,116,Miami Marlins,Detroit Tigers
2016,2016-04-05,446886,2016-04-06 00:05:00+00:00,R,N,1,140,136,Texas Rangers,Seattle Mariners
2016,2016-04-05,446885,2016-04-06 00:10:00+00:00,R,N,1,158,137,Milwaukee Brewers,San Francisco Giants
2016,2016-04-05,446882,2016-04-06 01:40:00+00:00,R,N,1,109,115,Arizona Diamondbacks,Colorado Rockies
2016,2016-04-05,446880,2016-04-06 02:05:00+00:00,R,N,1,108,112,Los Angeles Angels,Chicago Cubs
2016,2016-04-05,446881,2016-04-06 02:05:00+00:00,R,N,1,133,145,Oakland Athletics,Chicago White Sox
2016,2016-04-05,446884,2016-04-06 02:10:00+00:00,R,N,1,135,119,San Diego Padres,Los Angeles Dodgers
2016,2016-04-06,446901,2016-04-06 17:10:00+00:00,R,N,1,139,141,Tampa Bay Rays,Toronto Blue Jays
2016,2016-04-06,446898,2016-04-06 17:40:00+00:00,R,N,1,158,137,Milwaukee Brewers,San Francisco Giants
2016,2016-04-06,446899,2016-04-06 18:05:00+00:00,R,N,1,140,136,Texas Rangers,Seattle Mariners
2016,2016-04-06,446891,2016-04-06 19:40:00+00:00,R,N,1,109,115,Arizona Diamondbacks,Colorado Rockies
2016,2016-04-06,446892,2016-04-06 20:55:00+00:00,R,N,1,146,116,Miami Marlins,Detroit Tigers
2016,2016-04-06,446888,2016-04-06 22:10:00+00:00,R,N,1,114,111,Cleveland Indians,Boston Red Sox
2016,2016-04-06,446900,2016-04-06 23:05:00+00:00,R,N,1,134,138,Pittsburgh Pirates,St. Louis Cardinals
2016,2016-04-06,446895,2016-04-06 23:05:00+00:00,R,N,1,110,142,Baltimore Orioles,Minnesota Twins
2016,2016-04-06,446893,2016-04-06 23:05:00+00:00,R,N,1,147,117,New York Yankees,Houston Astros
2016,2016-04-06,446897,2016-04-06 23:10:00+00:00,R,N,1,113,143,Cincinnati Reds,Philadelphia Phillies
2016,2016-04-06,446902,2016-04-06 23:10:00+00:00,R,N,1,144,120,Atlanta Braves,Washington Nationals
2016,2016-04-06,446894,2016-04-07 01:10:00+00:00,R,N,1,135,119,San Diego Padres,Los Angeles Dodgers
2016,2016-04-06,446890,2016-04-07 02:05:00+00:00,R,N,1,133,145,Oakland Athletics,Chicago White Sox
2016,2016-04-07,446909,2016-04-07 16:35:00+00:00,R,N,1,113,143,Cincinnati Reds,Philadelphia Phillies
2016,2016-04-07,446905,2016-04-07 19:35:00+00:00,R,N,1,133,145,Oakland Athletics,Chicago White Sox
2016,2016-04-07,446917,2016-04-07 20:05:00+00:00,R,N,1,120,146,Washington Nationals,Miami Marlins
2016,2016-04-07,446906,2016-04-07 20:05:00+00:00,R,N,1,147,117,New York Yankees,Houston Astros
2016,2016-04-07,446907,2016-04-07 20:35:00+00:00,R,N,1,137,119,San Francisco Giants,Los Angeles Dodgers
2016,2016-04-07,446908,2016-04-07 23:05:00+00:00,R,N,1,110,142,Baltimore Orioles,Minnesota Twins
2016,2016-04-07,446904,2016-04-08 01:40:00+00:00,R,N,1,109,112,Arizona Diamondbacks,Chicago Cubs
2016,2016-04-07,448298,2016-04-08 02:05:00+00:00,R,N,1,108,140,Los Angeles Angels,Texas Rangers
2016,2016-08-15,446903,2016-04-07 22:10:00+00:00,R,N,1,114,111,Cleveland Indians,Boston Red Sox
2016,2016-04-08,446921,2016-04-08 17:10:00+00:00,R,N,1,121,143,New York Mets,Philadelphia Phillies
2016,2016-04-08,446919,2016-04-08 17:10:00+00:00,R,N,1,116,147,Detroit Tigers,New York Yankees
2016,2016-04-08,446923,2016-04-08 20:10:00+00:00,R,N,1,115,135,Colorado Rockies,San Diego Padres
2016,2016-04-08,446914,2016-04-08 20:10:00+00:00,R,N,1,145,114,Chicago White Sox,Cleveland Indians
2016,2016-04-08,446925,2016-04-08 23:05:00+00:00,R,N,1,110,139,Baltimore Orioles,Tampa Bay Rays
2016,2016-04-08,446912,2016-04-08 23:07:00+00:00,R,N,1,141,111,Toronto Blue Jays,Boston Red Sox
2016,2016-04-08,446922,2016-04-08 23:10:00+00:00,R,N,1,113,134,Cincinnati Reds,Pittsburgh Pirates
2016,2016-04-08,446924,2016-04-08 23:35:00+00:00,R,N,1,144,138,Atlanta Braves,St. Louis Cardinals
2016,2016-04-08,446915,2016-04-09 00:10:00+00:00,R,N,1,158,117,Milwaukee Brewers,Houston Astros
2016,2016-04-08,446918,2016-04-09 00:15:00+00:00,R,N,1,118,142,Kansas City Royals,Minnesota Twins
2016,2016-04-08,446913,2016-04-09 01:40:00+00:00,R,N,1,109,112,Arizona Diamondbacks,Chicago Cubs
2016,2016-04-08,446926,2016-04-09 02:05:00+00:00,R,N,1,108,140,Los Angeles Angels,Texas Rangers
2016,2016-04-08,446920,2016-04-09 02:10:00+00:00,R,N,1,136,133,Seattle Mariners,Oakland Athletics
2016,2016-04-08,446916,2016-04-09 02:15:00+00:00,R,N,1,137,119,San Francisco Giants,Los Angeles Dodgers
2016,2016-04-09,446927,2016-04-09 17:07:00+00:00,R,N,1,141,111,Toronto Blue Jays,Boston Red Sox
2016,2016-04-09,446937,2016-04-09 17:10:00+00:00,R,N,1,113,134,Cincinnati Reds,Pittsburgh Pirates
2016,2016-04-09,446934,2016-04-09 17:10:00+00:00,R,N,1,116,147,Detroit Tigers,New York Yankees
2016,2016-04-09,446929,2016-04-09 18:10:00+00:00,R,N,1,145,114,Chicago White Sox,Cleveland Indians
2016,2016-04-09,446931,2016-04-09 20:05:00+00:00,R,N,1,137,119,San Francisco Giants,Los Angeles Dodgers
2016,2016-04-09,446936,2016-04-09 23:10:00+00:00,R,N,1,121,143,New York Mets,Philadelphia Phillies
2016,2016-04-09,446939,2016-04-09 23:10:00+00:00,R,N,1,144,138,Atlanta Braves,St. Louis Cardinals
2016,2016-04-09,446930,2016-04-09 23:10:00+00:00,R,N,1,158,117,Milwaukee Brewers,Houston Astros
2016,2016-04-09,446933,2016-04-09 23:15:00+00:00,R,N,1,118,142,Kansas City Royals,Minnesota Twins
2016,2016-04-09,446928,2016-04-10 00:10:00+00:00,R,N,1,109,112,Arizona Diamondbacks,Chicago Cubs
2016,2016-04-09,446938,2016-04-10 00:10:00+00:00,R,N,1,115,135,Colorado Rockies,San Diego Padres
2016,2016-04-09,446941,2016-04-10 01:05:00+00:00,R,N,1,108,140,Los Angeles Angels,Texas Rangers
2016,2016-04-09,446935,2016-04-10 01:10:00+00:00,R,N,1,136,133,Seattle Mariners,Oakland Athletics
2016,2016-05-14,446932,2016-04-09 20:05:00+00:00,R,N,1,120,146,Washington Nationals,Miami Marlins
2016,2016-06-25,446940,2016-04-09 23:05:00+00:00,R,N,1,110,139,Baltimore Orioles,Tampa Bay Rays
2016,2016-04-10,446942,2016-04-10 17:07:00+00:00,R,N,1,141,111,Toronto Blue Jays,Boston Red Sox
2016,2016-04-10,446952,2016-04-10 17:10:00+00:00,R,N,1,113,134,Cincinnati Reds,Pittsburgh Pirates
2016,2016-04-10,446951,2016-04-10 17:10:00+00:00,R,N,1,121,143,New York Mets,Philadelphia Phillies
2016,2016-04-10,446955,2016-04-10 17:35:00+00:00,R,N,1,110,139,Baltimore Orioles,Tampa Bay Rays
2016,2016-04-10,446954,2016-04-10 17:35:00+00:00,R,N,1,144,138,Atlanta Braves,St. Louis Cardinals
2016,2016-04-10,446947,2016-04-10 17:35:00+00:00,R,N,1,120,146,Washington Nationals,Miami Marlins
2016,2016-04-10,446945,2016-04-10 18:10:00+00:00,R,N,1,158,117,Milwaukee Brewers,Houston Astros
2016,2016-04-10,446948,2016-04-10 18:15:00+00:00,R,N,1,118,142,Kansas City Royals,Minnesota Twins
2016,2016-04-10,446956,2016-04-10 19:35:00+00:00,R,N,1,108,140,Los Angeles Angels,Texas Rangers
2016,2016-04-10,446946,2016-04-10 20:05:00+00:00,R,N,1,137,119,San Francisco Giants,Los Angeles Dodgers
2016,2016-04-10,446943,2016-04-10 20:10:00+00:00,R,N,1,109,112,Arizona Diamondbacks,Chicago Cubs
2016,2016-04-10,446953,2016-04-10 20:10:00+00:00,R,N,1,115,135,Colorado Rockies,San Diego Padres
2016,2016-04-10,446950,2016-04-10 20:10:00+00:00,R,N,1,136,133,Seattle Mariners,Oakland Athletics
2016,2016-05-23,446944,2016-04-10 18:10:00+00:00,R,N,1,145,114,Chicago White Sox,Cleveland Indians
2016,2016-06-02,446949,2016-04-11 00:10:00+00:00,R,N,1,116,147,Detroit Tigers,New York Yankees
2016,2016-04-11,446965,2016-04-11 17:10:00+00:00,R,N,1,116,134,Detroit Tigers,Pittsburgh Pirates
2016,2016-04-11,446958,2016-04-11 18:05:00+00:00,R,N,1,111,110,Boston Red Sox,Baltimore Orioles
2016,2016-04-11,446966,2016-04-11 19:05:00+00:00,R,N,1,143,135,Philadelphia Phillies,San Diego Padres
2016,2016-04-11,446959,2016-04-11 20:10:00+00:00,R,N,1,142,145,Minnesota Twins,Chicago White Sox
2016,2016-04-11,446964,2016-04-11 20:15:00+00:00,R,N,1,138,158,St. Louis Cardinals,Milwaukee Brewers
2016,2016-04-11,446957,2016-04-11 23:05:00+00:00,R,N,1,120,144,Washington Nationals,Atlanta Braves
2016,2016-04-11,446963,2016-04-11 23:10:00+00:00,R,N,1,121,146,New York Mets,Miami Marlins
2016,2016-04-11,446960,2016-04-12 00:05:00+00:00,R,N,1,112,113,Chicago Cubs,Cincinnati Reds
2016,2016-04-11,446961,2016-04-12 00:10:00+00:00,R,N,1,117,118,Houston Astros,Kansas City Royals
2016,2016-04-11,446962,2016-04-12 02:05:00+00:00,R,N,1,133,108,Oakland Athletics,Los Angeles Angels
2016,2016-04-11,446967,2016-04-12 02:10:00+00:00,R,N,1,136,140,Seattle Mariners,Texas Rangers
2016,2016-04-12,446977,2016-04-12 17:10:00+00:00,R,N,1,116,134,Detroit Tigers,Pittsburgh Pirates
2016,2016-04-12,446968,2016-04-12 20:10:00+00:00,R,N,1,119,109,Los Angeles Dodgers,Arizona Diamondbacks
2016,2016-04-12,446978,2016-04-12 23:05:00+00:00,R,N,1,143,135,Philadelphia Phillies,San Diego Padres
2016,2016-04-12,446969,2016-04-12 23:05:00+00:00,R,N,1,120,144,Washington Nationals,Atlanta Braves
2016,2016-04-12,446976,2016-04-12 23:07:00+00:00,R,N,1,141,147,Toronto Blue Jays,New York Yankees
2016,2016-04-12,446970,2016-04-12 23:10:00+00:00,R,N,1,111,110,Boston Red Sox,Baltimore Orioles
2016,2016-04-12,446971,2016-04-12 23:10:00+00:00,R,N,1,139,114,Tampa Bay Rays,Cleveland Indians
2016,2016-04-12,446974,2016-04-12 23:10:00+00:00,R,N,1,121,146,New York Mets,Miami Marlins
2016,2016-04-12,446972,2016-04-13 00:10:00+00:00,R,N,1,117,118,Houston Astros,Kansas City Royals
2016,2016-04-12,446979,2016-04-13 00:40:00+00:00,R,N,1,115,137,Colorado Rockies,San Francisco Giants
2016,2016-04-12,446973,2016-04-13 02:05:00+00:00,R,N,1,133,108,Oakland Athletics,Los Angeles Angels
