season,game_date_et,game_pk,start_utc,game_type,doubleheader,game_number,home_team_id,away_team_id,home_team,away_team
2014,2014-03-22,380537,2014-03-22 08:00:00+00:00,R,N,1,109,119,Arizona Diamondbacks,Los Angeles Dodgers
2014,2014-03-23,380538,2014-03-23 02:00:00+00:00,R,N,1,109,119,Arizona Diamondbacks,Los Angeles Dodgers
2014,2014-03-23,380538,2014-03-23 02:00:00+00:00,R,N,1,109,119,Arizona Diamondbacks,Los Angeles Dodgers
2014,2014-03-30,380546,2014-03-31 00:05:00+00:00,R,N,1,135,119,San Diego Padres,Los Angeles Dodgers
2014,2014-03-31,380542,2014-03-31 17:05:00+00:00,R,N,1,134,112,Pittsburgh Pirates,Chicago Cubs
2014,2014-03-31,380545,2014-03-31 17:08:00+00:00,R,N,1,116,118,Detroit Tigers,Kansas City Royals
2014,2014-03-31,380553,2014-03-31 17:10:00+00:00,R,N,1,121,120,New York Mets,Washington Nationals
2014,2014-03-31,380548,2014-03-31 18:05:00+00:00,R,N,1,140,143,Texas Rangers,Philadelphia Phillies
2014,2014-03-31,380540,2014-03-31 18:10:00+00:00,R,N,1,158,144,Milwaukee Brewers,Atlanta Braves
2014,2014-03-31,380541,2014-03-31 19:05:00+00:00,R,N,1,110,111,Baltimore Orioles,Boston Red Sox
2014,2014-03-31,380551,2014-03-31 20:10:00+00:00,R,N,1,113,138,Cincinnati Reds,St. Louis Cardinals
2014,2014-03-31,380552,2014-03-31 20:10:00+00:00,R,N,1,139,141,Tampa Bay Rays,Toronto Blue Jays
2014,2014-03-31,380547,2014-03-31 20:10:00+00:00,R,N,1,145,142,Chicago White Sox,Minnesota Twins
2014,2014-03-31,380544,2014-03-31 23:05:00+00:00,R,N,1,146,115,Miami Marlins,Colorado Rockies
2014,2014-03-31,380550,2014-04-01 01:40:00+00:00,R,N,1,109,137,Arizona Diamondbacks,San Francisco Giants
2014,2014-03-31,380543,2014-04-01 02:05:00+00:00,R,N,1,133,114,Oakland Athletics,Cleveland Indians
2014,2014-03-31,380549,2014-04-01 02:05:00+00:00,R,N,1,108,136,Los Angeles Angels,Seattle Mariners
2014,2014-04-01,380557,2014-04-01 22:40:00+00:00,R,N,1,135,119,San Diego Padres,Los Angeles Dodgers
2014,2014-04-01,380562,2014-04-01 23:10:00+00:00,R,N,1,139,141,Tampa Bay Rays,Toronto Blue Jays
2014,2014-04-01,380556,2014-04-01 23:10:00+00:00,R,N,1,146,115,Miami Marlins,Colorado Rockies
2014,2014-04-01,380558,2014-04-01 23:10:00+00:00,R,N,1,117,147,Houston Astros,New York Yankees
2014,2014-04-01,380559,2014-04-02 00:05:00+00:00,R,N,1,140,143,Texas Rangers,Philadelphia Phillies
2014,2014-04-01,380554,2014-04-02 00:10:00+00:00,R,N,1,158,144,Milwaukee Brewers,Atlanta Braves
2014,2014-04-01,380561,2014-04-02 01:40:00+00:00,R,N,1,109,137,Arizona Diamondbacks,San Francisco Giants
2014,2014-04-01,380560,2014-04-02 02:05:00+00:00,R,N,1,108,136,Los Angeles Angels,Seattle Mariners
2014,2014-04-02,380555,2014-04-02 02:05:00+00:00,R,N,1,133,114,Oakland Athletics,Cleveland Indians
2014,2014-04-02,380568,2014-04-02 17:08:00+00:00,R,N,1,116,118,Detroit Tigers,Kansas City Royals
2014,2014-04-02,380563,2014-04-02 17:10:00+00:00,R,N,1,158,144,Milwaukee Brewers,Atlanta Braves
2014,2014-04-02,380570,2014-04-02 18:10:00+00:00,R,N,1,145,142,Chicago White Sox,Minnesota Twins
2014,2014-04-02,380566,2014-04-02 19:35:00+00:00,R,S,1,133,114,Oakland Athletics,Cleveland Indians
2014,2014-04-02,380555,2014-04-03 01:00:00+00:00,R,S,2,133,114,Oakland Athletics,Cleveland Indians
2014,2014-04-02,380564,2014-04-02 23:05:00+00:00,R,N,1,110,111,Baltimore Orioles,Boston Red Sox
2014,2014-04-02,380565,2014-04-02 23:05:00+00:00,R,N,1,134,112,Pittsburgh Pirates,Chicago Cubs
2014,2014-04-02,380577,2014-04-02 23:10:00+00:00,R,N,1,121,120,New York Mets,Washington Nationals
2014,2014-04-02,380575,2014-04-02 23:10:00+00:00,R,N,1,113,138,Cincinnati Reds,St. Louis Cardinals
2014,2014-04-02,380576,2014-04-02 23:10:00+00:00,R,N,1,139,141,Tampa Bay Rays,Toronto Blue Jays
2014,2014-04-02,380567,2014-04-02 23:10:00+00:00,R,N,1,146,115,Miami Marlins,Colorado Rockies
