season,game_date_et,game_pk,start_utc,game_type,doubleheader,game_number,home_team_id,away_team_id,home_team,away_team
2021,2021-04-01,634642,2021-04-01 17:05:00+00:00,R,N,1,147,141,New York Yankees,Toronto Blue Jays
2021,2021-04-01,634645,2021-04-01 17:10:00+00:00,R,N,1,116,114,Detroit Tigers,Cleveland Indians
2021,2021-04-01,634638,2021-04-01 18:10:00+00:00,R,N,1,158,142,Milwaukee Brewers,Minnesota Twins
2021,2021-04-01,634634,2021-04-01 18:20:00+00:00,R,N,1,112,134,Chicago Cubs,Pittsburgh Pirates
2021,2021-04-01,634622,2021-04-01 19:05:00+00:00,R,N,1,143,144,Philadelphia Phillies,Atlanta Braves
2021,2021-04-01,634615,2021-04-01 20:10:00+00:00,R,N,1,115,119,Colorado Rockies,Los Angeles Dodgers
2021,2021-04-01,634618,2021-04-01 20:10:00+00:00,R,N,1,135,109,San Diego Padres,Arizona Diamondbacks
2021,2021-04-01,634636,2021-04-01 20:10:00+00:00,R,N,1,113,138,Cincinnati Reds,St. Louis Cardinals
2021,2021-04-01,634630,2021-04-01 20:10:00+00:00,R,N,1,118,140,Kansas City Royals,Texas Rangers
2021,2021-04-01,634652,2021-04-01 20:10:00+00:00,R,N,1,146,139,Miami Marlins,Tampa Bay Rays
2021,2021-04-01,634655,2021-04-02 02:05:00+00:00,R,N,1,108,145,Los Angeles Angels,Chicago White Sox
2021,2021-04-01,634640,2021-04-02 02:07:00+00:00,R,N,1,133,117,Oakland Athletics,Houston Astros
2021,2021-04-01,634625,2021-04-02 02:10:00+00:00,R,N,1,136,137,Seattle Mariners,San Francisco Giants
2021,2021-04-02,634627,2021-04-01 18:10:00+00:00,R,N,1,111,110,Boston Red Sox,Baltimore Orioles
2021,2021-06-19,634647,2021-04-01 23:09:00+00:00,R,N,1,120,121,Washington Nationals,New York Mets
2021,2021-04-02,634627,2021-04-02 18:10:00+00:00,R,N,1,111,110,Boston Red Sox,Baltimore Orioles
2021,2021-04-02,634602,2021-04-02 23:10:00+00:00,R,N,1,146,139,Miami Marlins,Tampa Bay Rays
2021,2021-04-02,634653,2021-04-03 00:40:00+00:00,R,N,1,115,119,Colorado Rockies,Los Angeles Dodgers
2021,2021-04-02,634631,2021-04-03 01:38:00+00:00,R,N,1,108,145,Los Angeles Angels,Chicago White Sox
2021,2021-04-02,634605,2021-04-03 01:40:00+00:00,R,N,1,133,117,Oakland Athletics,Houston Astros
2021,2021-04-02,634576,2021-04-03 02:10:00+00:00,R,N,1,135,109,San Diego Padres,Arizona Diamondbacks
2021,2021-04-02,634578,2021-04-03 02:10:00+00:00,R,N,1,136,137,Seattle Mariners,San Francisco Giants
2021,2021-04-03,634644,2021-04-03 17:05:00+00:00,R,N,1,147,141,New York Yankees,Toronto Blue Jays
2021,2021-04-03,634577,2021-04-03 17:10:00+00:00,R,N,1,111,110,Boston Red Sox,Baltimore Orioles
2021,2021-04-03,634573,2021-04-03 17:10:00+00:00,R,N,1,116,114,Detroit Tigers,Cleveland Indians
2021,2021-04-03,634604,2021-04-03 18:10:00+00:00,R,N,1,118,140,Kansas City Royals,Texas Rangers
2021,2021-04-03,634643,2021-04-03 18:20:00+00:00,R,N,1,112,134,Chicago Cubs,Pittsburgh Pirates
2021,2021-04-03,634580,2021-04-03 20:05:00+00:00,R,N,1,143,144,Philadelphia Phillies,Atlanta Braves
2021,2021-04-03,634629,2021-04-03 20:07:00+00:00,R,N,1,133,117,Oakland Athletics,Houston Astros
2021,2021-04-03,634654,2021-04-03 20:10:00+00:00,R,N,1,113,138,Cincinnati Reds,St. Louis Cardinals
2021,2021-04-03,634596,2021-04-03 22:10:00+00:00,R,N,1,146,139,Miami Marlins,Tampa Bay Rays
2021,2021-04-03,634575,2021-04-03 23:10:00+00:00,R,N,1,158,142,Milwaukee Brewers,Minnesota Twins
2021,2021-04-03,634633,2021-04-04 00:10:00+00:00,R,N,1,115,119,Colorado Rockies,Los Angeles Dodgers
2021,2021-04-03,634623,2021-04-04 00:40:00+00:00,R,N,1,135,109,San Diego Padres,Arizona Diamondbacks
2021,2021-04-03,634646,2021-04-04 01:07:00+00:00,R,N,1,108,145,Los Angeles Angels,Chicago White Sox
2021,2021-04-03,634639,2021-04-04 01:10:00+00:00,R,N,1,136,137,Seattle Mariners,San Francisco Giants
2021,2021-06-28,634620,2021-04-03 20:05:00+00:00,R,N,1,120,121,Washington Nationals,New York Mets
2021,2021-04-04,634617,2021-04-04 17:05:00+00:00,R,N,1,143,144,Philadelphia Phillies,Atlanta Braves
2021,2021-04-04,634607,2021-04-04 17:05:00+00:00,R,N,1,147,141,New York Yankees,Toronto Blue Jays
2021,2021-04-04,634610,2021-04-04 17:10:00+00:00,R,N,1,111,110,Boston Red Sox,Baltimore Orioles
2021,2021-04-04,634611,2021-04-04 17:10:00+00:00,R,N,1,116,114,Detroit Tigers,Cleveland Indians
2021,2021-04-04,634560,2021-04-04 17:10:00+00:00,R,N,1,113,138,Cincinnati Reds,St. Louis Cardinals
2021,2021-04-04,634593,2021-04-04 18:10:00+00:00,R,N,1,118,140,Kansas City Royals,Texas Rangers
2021,2021-04-04,634597,2021-04-04 18:10:00+00:00,R,N,1,158,142,Milwaukee Brewers,Minnesota Twins
2021,2021-04-04,634613,2021-04-04 18:20:00+00:00,R,N,1,112,134,Chicago Cubs,Pittsburgh Pirates
2021,2021-04-04,634557,2021-04-04 19:10:00+00:00,R,N,1,115,119,Colorado Rockies,Los Angeles Dodgers
2021,2021-04-04,634651,2021-04-04 20:07:00+00:00,R,N,1,133,117,Oakland Athletics,Houston Astros
2021,2021-04-04,634572,2021-04-04 20:10:00+00:00,R,N,1,135,109,San Diego Padres,Arizona Diamondbacks
2021,2021-04-04,634637,2021-04-05 00:37:00+00:00,R,N,1,108,145,Los Angeles Angels,Chicago White Sox
