config_id,min_merit_score,min_price_delta_cents,big_scam_min_price_delta_cents,evenly_matched_max_abs_ml,split,n_bets,wins,losses,pushes,profit,roi
mm0.5-mp10.0-bs80-e130,0.5,10.0,80,130,train,1790,955,814,21,5466.77,3.09
mm0.5-mp10.0-bs80-e130,0.5,10.0,80,130,valid,329,160,164,5,-609.19,-1.88
mm0.5-mp10.0-bs80-e140,0.5,10.0,80,140,train,1774,932,821,21,2872.01,1.64
mm0.5-mp10.0-bs80-e140,0.5,10.0,80,140,valid,329,160,164,5,-719.94,-2.22
mm0.5-mp10.0-bs100-e110,0.5,10.0,100,110,train,1834,964,849,21,2518.78,1.39
mm0.5-mp10.0-bs100-e110,0.5,10.0,100,110,valid,329,165,159,5,220.5,0.68
mm0.5-mp10.0-bs100-e120,0.5,10.0,100,120,train,1774,948,805,21,5375.41,3.07
mm0.5-mp10.0-bs100-e120,0.5,10.0,100,120,valid,325,164,156,5,370.61,1.16
mm0.5-mp10.0-bs100-e130,0.5,10.0,100,130,train,1740,933,786,21,5928.78,3.45
mm0.5-mp10.0-bs100-e130,0.5,10.0,100,130,valid,320,156,159,5,-536.85,-1.7
mm0.5-mp10.0-bs100-e140,0.5,10.0,100,140,train,1724,910,793,21,3334.02,1.96
mm0.5-mp10.0-bs100-e140,0.5,10.0,100,140,valid,320,156,159,5,-647.6,-2.06
mm1.0-mp5.0-bs40-e110,1.0,5.0,40,110,train,2007,1041,945,21,1404.91,0.71
mm1.0-mp5.0-bs40-e110,1.0,5.0,40,110,valid,367,181,181,5,-32.49,-0.09
mm1.0-mp5.0-bs40-e120,1.0,5.0,40,120,train,1949,1025,903,21,3962.24,2.06
mm1.0-mp5.0-bs40-e120,1.0,5.0,40,120,valid,364,181,178,5,232.62,0.65
mm1.0-mp5.0-bs40-e130,1.0,5.0,40,130,train,1916,1009,886,21,4194.64,2.21
mm1.0-mp5.0-bs40-e130,1.0,5.0,40,130,valid,359,173,181,5,-674.84,-1.91
mm1.0-mp5.0-bs40-e140,1.0,5.0,40,140,train,1898,985,892,21,1632.31,0.87
mm1.0-mp5.0-bs40-e140,1.0,5.0,40,140,valid,359,173,181,5,-785.59,-2.22
mm1.0-mp5.0-bs60-e110,1.0,5.0,60,110,train,1929,1003,905,21,1474.08,0.77
mm1.0-mp5.0-bs60-e110,1.0,5.0,60,110,valid,347,171,171,5,-207.19,-0.61
mm1.0-mp5.0-bs60-e120,1.0,5.0,60,120,train,1871,987,863,21,4031.41,2.18
mm1.0-mp5.0-bs60-e120,1.0,5.0,60,120,valid,344,171,168,5,57.92,0.17
mm1.0-mp5.0-bs60-e130,1.0,5.0,60,130,train,1838,971,846,21,4263.81,2.35
mm1.0-mp5.0-bs60-e130,1.0,5.0,60,130,valid,339,163,171,5,-849.54,-2.54
mm1.0-mp5.0-bs60-e140,1.0,5.0,60,140,train,1820,947,852,21,1701.48,0.95
mm1.0-mp5.0-bs60-e140,1.0,5.0,60,140,valid,339,163,171,5,-960.29,-2.88
mm1.0-mp5.0-bs80-e110,1.0,5.0,80,110,train,1869,976,872,21,2293.39,1.24
mm1.0-mp5.0-bs80-e110,1.0,5.0,80,110,valid,336,167,164,5,-60.3,-0.18
mm1.0-mp5.0-bs80-e120,1.0,5.0,80,120,train,1811,960,830,21,4850.72,2.71
mm1.0-mp5.0-bs80-e120,1.0,5.0,80,120,valid,333,167,161,5,204.81,0.62
mm1.0-mp5.0-bs80-e130,1.0,5.0,80,130,train,1778,944,813,21,5083.12,2.89
mm1.0-mp5.0-bs80-e130,1.0,5.0,80,130,valid,328,159,164,5,-702.65,-2.18
mm1.0-mp5.0-bs80-e140,1.0,5.0,80,140,train,1760,920,819,21,2520.79,1.45
mm1.0-mp5.0-bs80-e140,1.0,5.0,80,140,valid,328,159,164,5,-813.4,-2.52
