config_id,day_map,min_move_cents,evenly_matched_max_abs_ml,heavy_fav_abs_ml,split,n_bets,wins,losses,pushes,profit,roi
VPPPVP-m15-e120-h200,VPPPVP,15,120,200,train,5453,2861,2592,0,-18347.4,-3.36
VPPPVP-m15-e120-h200,VPPPVP,15,120,200,valid,905,494,411,0,-671.25,-0.74
VPPPVP-m15-e120-h250,VPPPVP,15,120,250,train,5453,2861,2592,0,-18347.4,-3.36
VPPPVP-m15-e120-h250,VPPPVP,15,120,250,valid,905,494,411,0,-671.25,-0.74
VPPPVP-m15-e120-h300,VPPPVP,15,120,300,train,5453,2861,2592,0,-18347.4,-3.36
VPPPVP-m15-e120-h300,VPPPVP,15,120,300,valid,905,494,411,0,-671.25,-0.74
VPPPVP-m15-e130-h200,VPPPVP,15,130,200,train,5453,2839,2614,0,-15473.76,-2.84
VPPPVP-m15-e130-h200,VPPPVP,15,130,200,valid,905,480,425,0,-2049.46,-2.26
VPPPVP-m15-e130-h250,VPPPVP,15,130,250,train,5453,2839,2614,0,-15473.76,-2.84
VPPPVP-m15-e130-h250,VPPPVP,15,130,250,valid,905,480,425,0,-2049.46,-2.26
VPPPVP-m15-e130-h300,VPPPVP,15,130,300,train,5453,2839,2614,0,-15473.76,-2.84
VPPPVP-m15-e130-h300,VPPPVP,15,130,300,valid,905,480,425,0,-2049.46,-2.26
VPPPVP-m15-e140-h200,VPPPVP,15,140,200,train,5453,2806,2647,0,-14205.74,-2.61
VPPPVP-m15-e140-h200,VPPPVP,15,140,200,valid,905,462,443,0,-4529.2,-5.0
VPPPVP-m15-e140-h250,VPPPVP,15,140,250,train,5453,2806,2647,0,-14205.74,-2.61
VPPPVP-m15-e140-h250,VPPPVP,15,140,250,valid,905,462,443,0,-4529.2,-5.0
VPPPVP-m15-e140-h300,VPPPVP,15,140,300,train,5453,2806,2647,0,-14205.74,-2.61
VPPPVP-m15-e140-h300,VPPPVP,15,140,300,valid,905,462,443,0,-4529.2,-5.0
VPPPVP-m20-e120-h200,VPPPVP,20,120,200,train,3925,2060,1865,0,-14535.01,-3.7
VPPPVP-m20-e120-h200,VPPPVP,20,120,200,valid,663,367,296,0,101.91,0.15
VPPPVP-m20-e120-h250,VPPPVP,20,120,250,train,3925,2060,1865,0,-14535.01,-3.7
VPPPVP-m20-e120-h250,VPPPVP,20,120,250,valid,663,367,296,0,101.91,0.15
VPPPVP-m20-e120-h300,VPPPVP,20,120,300,train,3925,2060,1865,0,-14535.01,-3.7
VPPPVP-m20-e120-h300,VPPPVP,20,120,300,valid,663,367,296,0,101.91,0.15
VPPPVP-m20-e130-h200,VPPPVP,20,130,200,train,3925,2053,1872,0,-11772.6,-3.0
VPPPVP-m20-e130-h200,VPPPVP,20,130,200,valid,663,352,311,0,-2163.4,-3.26
VPPPVP-m20-e130-h250,VPPPVP,20,130,250,train,3925,2053,1872,0,-11772.6,-3.0
VPPPVP-m20-e130-h250,VPPPVP,20,130,250,valid,663,352,311,0,-2163.4,-3.26
VPPPVP-m20-e130-h300,VPPPVP,20,130,300,train,3925,2053,1872,0,-11772.6,-3.0
VPPPVP-m20-e130-h300,VPPPVP,20,130,300,valid,663,352,311,0,-2163.4,-3.26
VPPPVP-m20-e140-h200,VPPPVP,20,140,200,train,3925,2024,1901,0,-12339.64,-3.14
VPPPVP-m20-e140-h200,VPPPVP,20,140,200,valid,663,339,324,0,-3887.23,-5.86
VPPPVP-m20-e140-h250,VPPPVP,20,140,250,train,3925,2024,1901,0,-12339.64,-3.14
VPPPVP-m20-e140-h250,VPPPVP,20,140,250,valid,663,339,324,0,-3887.23,-5.86
VPPPVP-m20-e140-h300,VPPPVP,20,140,300,train,3925,2024,1901,0,-12339.64,-3.14
VPPPVP-m20-e140-h300,VPPPVP,20,140,300,valid,663,339,324,0,-3887.23,-5.86
VPPPVV-m5-e120-h200,VPPPVV,5,120,200,train,10110,4990,5120,0,-28496.58,-2.82
VPPPVV-m5-e120-h200,VPPPVV,5,120,200,valid,1699,859,840,0,583.93,0.34
VPPPVV-m5-e120-h250,VPPPVV,5,120,250,train,10110,4990,5120,0,-28496.58,-2.82
VPPPVV-m5-e120-h250,VPPPVV,5,120,250,valid,1699,859,840,0,583.93,0.34
VPPPVV-m5-e120-h300,VPPPVV,5,120,300,train,10110,4990,5120,0,-28496.58,-2.82
VPPPVV-m5-e120-h300,VPPPVV,5,120,300,valid,1699,859,840,0,583.93,0.34
VPPPVV-m5-e130-h200,VPPPVV,5,130,200,train,10110,4901,5209,0,-34546.01,-3.42
VPPPVV-m5-e130-h200,VPPPVV,5,130,200,valid,1699,846,853,0,-152.36,-0.09
VPPPVV-m5-e130-h250,VPPPVV,5,130,250,train,10110,4901,5209,0,-34546.01,-3.42
VPPPVV-m5-e130-h250,VPPPVV,5,130,250,valid,1699,846,853,0,-152.36,-0.09
VPPPVV-m5-e130-h300,VPPPVV,5,130,300,train,10110,4901,5209,0,-34546.01,-3.42
VPPPVV-m5-e130-h300,VPPPVV,5,130,300,valid,1699,846,853,0,-152.36,-0.09
VPPPVV-m5-e140-h200,VPPPVV,5,140,200,train,10110,4849,5261,0,-32681.93,-3.23
VPPPVV-m5-e140-h200,VPPPVV,5,140,200,valid,1699,817,882,0,-4080.02,-2.4
VPPPVV-m5-e140-h250,VPPPVV,5,140,250,train,10110,4849,5261,0,-32681.93,-3.23
VPPPVV-m5-e140-h250,VPPPVV,5,140,250,valid,1699,817,882,0,-4080.02,-2.4
VPPPVV-m5-e140-h300,VPPPVV,5,140,300,train,10110,4849,5261,0,-32681.93,-3.23
VPPPVV-m5-e140-h300,VPPPVV,5,140,300,valid,1699,817,882,0,-4080.02,-2.4
